lsn,eventtime(utc+8),event,detail,file/directory name,full path,creationtime,modifiedtime,mftmodifiedtime,accessedtime,redo,target vcn,cluster index,is_timestomped,is_suspicious_execution
10589175245,,,,FileCoAuth-2023-12-28.1042.10888.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.1042.10888.1.odl,12/28/23 18:42:25,12/28/23 18:42:32,12/28/23 18:42:32,12/28/23 19:23:03,Update Resident Value,0x31C6,6,0,0
10589175279,,,,FileCoAuth-2023-12-28.0552.6032.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.0552.6032.1.odl,12/28/23 13:52:25,12/28/23 13:52:32,12/28/23 13:52:32,12/28/23 14:22:58,Update Resident Value,0x31C7,6,0,0
10589175321,,,,FileCoAuth-2023-12-28.0612.8512.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.0612.8512.1.odl,12/28/23 14:12:25,12/28/23 14:12:32,12/28/23 14:12:32,12/28/23 14:22:58,Update Resident Value,0x31CB,2,0,0
10589175355,,,,FileCoAuth-2023-12-28.0632.4288.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.0632.4288.1.odl,12/28/23 14:32:25,12/28/23 14:32:32,12/28/23 14:32:32,12/28/23 15:22:59,Update Resident Value,0x31CB,4,0,0
10589175389,,,,FileCoAuth-2023-12-28.1032.5844.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.1032.5844.1.odl,12/28/23 18:32:25,12/28/23 18:32:32,12/28/23 18:32:32,12/28/23 19:23:03,Update Resident Value,0x31CD,2,0,0
10589175423,,,,FileCoAuth-2023-12-28.0702.3968.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.0702.3968.1.odl,12/28/23 15:02:25,12/28/23 15:02:32,12/28/23 15:02:32,12/28/23 15:22:59,Update Resident Value,0x31CF,4,0,0
10589175457,,,,FileCoAuth-2023-12-28.1112.11176.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.1112.11176.1.odl,12/28/23 19:12:25,12/28/23 19:12:32,12/28/23 19:12:32,12/28/23 19:23:03,Update Resident Value,0x31D3,0,0,0
10589175491,,,,FileCoAuth-2023-12-28.0652.5304.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.0652.5304.1.odl,12/28/23 14:52:25,12/28/23 14:52:32,12/28/23 14:52:32,12/28/23 15:22:59,Update Resident Value,0x31D4,0,0,0
10589175525,,,,FileCoAuth-2023-12-28.0712.3736.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.0712.3736.1.odl,12/28/23 15:12:25,12/28/23 15:12:32,12/28/23 15:12:32,12/28/23 15:22:59,Update Resident Value,0x31D5,2,0,0
10589175559,,,,FileCoAuth-2023-12-28.1212.11500.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.1212.11500.1.odl,12/28/23 20:12:25,12/28/23 20:12:32,12/28/23 20:12:32,12/28/23 20:23:04,Update Resident Value,0x31E5,4,0,0
