filename,full_path,lf_lsn,usn_usn,confidence_pct,usn_event_time,lf_event,lf_detail,usn_event_info,zero_in_nanoseconds,zero_in_nanoseconds_lf,time_reversal_event,basic_info_changed,cross_artifact_validation_score,cross_artifact_detected,has_logfile_evidence,has_usnjrnl_evidence,lf_creation_time,lf_modified_time,lf_accessed_time,lf_mft_modified_time,timestamp_changed_to_past,using_another_timestamp,modified_creationtime,modified_modifiedtime,modified_accessedtime,zero_nano_time_reversal,path_depth,filename_length,is_executable,is_document,is_archive,is_image
d18f431a-e17a-4853-a700-5b6cff1cd950.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\d18f431a-e17a-4853-a700-5b6cff1cd950.tmp,1546563265.0,247464976.0,99.99473756492117,4/6/18 15:21,Time Reversal Event,CreationTime : 2018-04-06 15:21:41 -> 2018-03-27 17:33:13(same as TransportSecurity),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
01676e7b-ca03-4faf-8594-f41ad62bcb7e.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\01676e7b-ca03-4faf-8594-f41ad62bcb7e.tmp,1548851133.0,248047824.0,99.99473756492117,4/6/18 16:26,Time Reversal Event,CreationTime : 2018-04-06 16:26:14 -> 2018-03-27 17:32:51(same as Preferences/ Preferences~RF2a180ce2.TMP),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
0112408b-bcdf-4229-b844-0a1d0cb82bda.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\0112408b-bcdf-4229-b844-0a1d0cb82bda.tmp,1546317382.0,247418512.0,99.99473756492117,4/6/18 15:18,Time Reversal Event,CreationTime : 2018-04-06 15:18:53 -> 2018-03-27 17:32:51(same as Preferences/ Preferences~RF2a180ce2.TMP),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
85459888-d930-4f5f-bd7d-20cbab87a77a.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\85459888-d930-4f5f-bd7d-20cbab87a77a.tmp,1548255214.0,247812096.0,99.99473756492117,4/6/18 15:49,Time Reversal Event,CreationTime : 2018-04-06 15:49:47 -> 2018-03-27 17:33:15(same as Network Persistent State~RF319a3313.TMP/ Network Persistent State),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
499448b3-3d17-48c5-bbc1-f645a31a7652.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\499448b3-3d17-48c5-bbc1-f645a31a7652.tmp,1545155835.0,247197136.0,99.99473756492117,4/6/18 15:07,Time Reversal Event,CreationTime : 2018-04-06 15:07:15 -> 2018-03-27 17:32:51(same as Preferences/ Preferences~RF2a180ce2.TMP),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
264610cc-b826-472a-8ee5-72687b89d1fd.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\264610cc-b826-472a-8ee5-72687b89d1fd.tmp,1545779720.0,247325568.0,99.99473756492117,4/6/18 15:13,Time Reversal Event,CreationTime : 2018-04-06 15:13:30 -> 2018-03-27 17:33:13(same as TransportSecurity),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
2815d2f4-a94e-4b5b-b3c4-cac022ee8fa6.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\2815d2f4-a94e-4b5b-b3c4-cac022ee8fa6.tmp,1561486542.0,249710568.0,99.99473756492117,4/6/18 20:46,Time Reversal Event,CreationTime : 2018-04-06 20:46:40 -> 2018-03-27 17:33:13,Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
29371f89-c184-492c-a4ea-8b64c91e246e.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\29371f89-c184-492c-a4ea-8b64c91e246e.tmp,1545692358.0,247315008.0,99.99473756492117,4/6/18 15:12,Time Reversal Event,CreationTime : 2018-04-06 15:12:37 -> 2018-03-27 17:32:51(same as Preferences/ Preferences~RF2a180ce2.TMP),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
2d55a6da-9703-486c-a18c-5e2e38b48990.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\2d55a6da-9703-486c-a18c-5e2e38b48990.tmp,1546050758.0,247384968.0,99.99473756492117,4/6/18 15:16,Time Reversal Event,CreationTime : 2018-04-06 15:16:29 -> 2018-03-27 17:33:15(same as Network Persistent State~RF319a3313.TMP/ Network Persistent State),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
2da1da97-bdc6-445b-b155-54e793be808a.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\2da1da97-bdc6-445b-b155-54e793be808a.tmp,1548774601.0,248013224.0,99.99473756492117,4/6/18 16:25,Time Reversal Event,CreationTime : 2018-04-06 16:25:41 -> 2018-03-27 17:32:51(same as Preferences/ Preferences~RF2a180ce2.TMP),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
