LSN,EventTime(UTC+8),Event,Detail,File/Directory Name,Full Path,CreationTime,ModifiedTime,MFTModifiedTime,AccessedTime,Redo,Target VCN,Cluster Index,is_timestomped,is_suspicious_execution,is_suspicious,label_source
10586818310,12/31/23 0:36:34,Move(Before),,3f9a787b-b3b1-4147-9435-8fe9505f6977,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\tmp\3f9a787b-b3b1-4147-9435-8fe9505f6977,,,,,Delete Attribute,0x3279,2,0,0,0,
10586818391,12/31/23 0:36:34,Move(After),,3f9a787b-b3b1-4147-9435-8fe9505f6977,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\pending_pings\3f9a787b-b3b1-4147-9435-8fe9505f6977,,,,,Create Attribute,0x3279,2,0,0,0,
10586818654,12/31/23 0:36:34,Updating Modified Time,ModifiedTime : 2023-12-28 21:39:30 -> 2023-12-31 00:36:34,pending_pings <Guessed>,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\pending_pings,,,,,Update Resident Value,0x8268,2,0,0,0,
10586819117,12/31/23 0:36:34,Updating Modified Time,ModifiedTime : 2023-12-31 00:36:33 -> 2023-12-31 00:36:34,SystemTemp <Guessed>,\Windows\SystemTemp,,,,,Update Resident Value,0x529,6,0,0,0,
10586819217,12/31/23 0:36:34,,,nssckbi.dll,\Program Files\Mozilla Firefox\nssckbi.dll,12/27/23 3:39:31,12/27/23 3:39:36,12/27/23 10:39:31,12/31/23 0:36:34,Update Resident Value,0x1F4C,6,0,0,0,
10586819300,12/31/23 0:36:34,File Deletion,,BIT4712.tmp,\Users\blueangel\AppData\Local\BIT4712.tmp,12/31/23 0:36:34,12/31/23 0:36:34,12/31/23 0:36:34,12/31/23 0:36:34,Deallocate File Record Segment,0x3305,6,0,0,0,
10586820107,12/31/23 0:36:34,File Creation,,data.safe.tmp,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.tmp,12/31/23 0:36:34,12/31/23 0:36:34,12/31/23 0:36:34,12/31/23 0:36:34,Initialize File Record Segment,0x3310,4,0,0,0,
10586820387,12/31/23 0:36:34,Writing Content of Non-Resident File,Data Runs(in Volume) : 379317(2),data.safe.tmp,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.tmp,,,,,Update Mapping Pairs,0x3310,4,0,0,0,
10586820708,12/31/23 0:36:34,File Deletion,,data.safe.bin,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.bin,12/31/23 0:36:34,12/31/23 0:36:34,12/31/23 0:36:34,12/31/23 0:36:34,Deallocate File Record Segment,0x3265,4,0,0,0,
10586820907,12/31/23 0:36:34,Renaming File,data.safe.tmp -> data.safe.bin,data.safe.bin,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.bin,,,,,Create Attribute,0x3310,4,0,0,0,
10586821498,12/31/23 0:36:34,File Creation,,BIT47A0.tmp,\Users\blueangel\AppData\Local\BIT47A0.tmp,12/31/23 0:36:34,12/31/23 0:36:34,12/31/23 0:36:34,12/31/23 0:36:34,Initialize File Record Segment,0x3265,4,0,0,0,
10586821809,12/31/23 0:36:34,Changing FileAttribute,Archive -> Hidden/ Archive,BIT47A0.tmp,\Users\blueangel\AppData\Local\BIT47A0.tmp,,,,,Update Resident Value,0x3265,4,0,0,0,
10586821970,12/31/23 0:36:34,File Creation,,GUM46F9.tmp,\Windows\SystemTemp\GUM46F9.tmp,12/31/23 0:36:34,12/31/23 0:36:34,12/31/23 0:36:34,12/31/23 0:36:34,Initialize File Record Segment,0x3311,2,0,0,0,
10586822236,12/31/23 0:36:34,File Creation,,GUM4786.tmp,\Windows\SystemTemp\GUM4786.tmp,12/31/23 0:36:34,12/31/23 0:36:34,12/31/23 0:36:34,12/31/23 0:36:34,Initialize File Record Segment,0x3305,6,0,0,0,
10586822463,12/31/23 0:36:34,File Deletion,,GUM4786.tmp,\Windows\SystemTemp\GUM4786.tmp,12/31/23 0:36:34,12/31/23 0:36:34,12/31/23 0:36:34,12/31/23 0:36:34,Deallocate File Record Segment,0x3305,6,0,0,0,
10586822724,12/31/23 0:36:34,,,osclientcerts.dll,\Program Files\Mozilla Firefox\osclientcerts.dll,12/27/23 3:39:31,12/27/23 3:39:35,12/27/23 10:39:31,12/31/23 0:36:34,Update Resident Value,0x1F29,0,0,0,0,
10586822844,12/31/23 0:36:34,,,ipcclientcerts.dll,\Program Files\Mozilla Firefox\ipcclientcerts.dll,12/27/23 3:39:31,12/27/23 3:39:36,12/27/23 10:39:31,12/31/23 0:36:34,Update Resident Value,0x22F1,2,0,0,0,
10586823129,12/31/23 0:36:34,Updating Modified Time,ModifiedTime : 2023-12-28 21:39:30 -> 2023-12-31 00:36:34,SiteSecurityServiceState.bin <Guessed>,\Users\blueangel\AppData\Roaming\Mozilla\Firefox\Background Tasks Profiles\76va6vw2.MozillaBackgroundTask-308046B0AF4A39CB-backgroundupdate\SiteSecurityServiceState.bin,,,,,Update Resident Value,0xA55,2,0,0,0,
