lsn,eventtime,event,filedirectoryname,fullpath,creationtime,modifiedtime,mftmodifiedtime,accessedtime,redo,targetvcn,clusterindex,missingfullpathflaglsn
10049612833,12/26/23 0:03:42,File Creation,lastalive0.dat,\Windows\ServiceState\EventLog\Data\lastalive0.dat,12/26/23 0:03:42,12/26/23 0:03:42,12/26/23 0:03:42,12/26/23 0:03:42,Initialize File Record Segment,0x424,6,0
10049613837,12/26/23 0:03:42,File Creation,lastalive1.dat,\Windows\ServiceState\EventLog\Data\lastalive1.dat,12/26/23 0:03:42,12/26/23 0:03:42,12/26/23 0:03:42,12/26/23 0:03:42,Initialize File Record Segment,0x433,4,0
10049702233,12/16/22 16:12:55,File Deletion,StateRepository-Machine.srd-shm,\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Machine.srd-shm,12/16/22 16:12:55,12/26/23 0:03:45,12/26/23 0:03:45,12/26/23 0:03:45,Deallocate File Record Segment,0x401,0,0
10049702510,12/16/22 16:12:55,File Deletion,StateRepository-Machine.srd-wal,\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Machine.srd-wal,12/16/22 16:12:55,12/26/23 0:03:46,12/26/23 0:03:46,12/26/23 0:03:46,Deallocate File Record Segment,0xD8,6,0
10049702890,12/16/22 16:12:55,File Creation,StateRepository-Machine.srd-wal,\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Machine.srd-wal,12/16/22 16:12:55,12/26/23 0:03:46,12/26/23 0:03:46,12/26/23 0:03:46,Initialize File Record Segment,0xD8,6,0
10049703120,12/16/22 16:12:55,File Creation,StateRepository-Machine.srd-shm,\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Machine.srd-shm,12/16/22 16:12:55,12/26/23 0:03:46,12/26/23 0:03:46,12/26/23 0:03:46,Initialize File Record Segment,0x401,0,0
10049707152,12/16/22 17:14:24,Updating Modified Time,WPNPRMRY.tmp,\Users\blueangel\AppData\Local\Microsoft\Windows\Notifications\WPNPRMRY.tmp,12/16/22 17:14:24,12/26/23 0:03:47,12/26/23 0:03:47,12/26/23 0:03:47,Update Resident Value,0x68DF,6,0
10049710039,12/26/23 0:03:47,File Creation,AvLock.txt,\Windows\Temp\_avast_\AvLock.txt,12/26/23 0:03:47,12/26/23 0:03:47,12/26/23 0:03:47,12/26/23 0:03:47,Initialize File Record Segment,0x43D,0,0
10049710241,12/26/23 0:03:47,File Creation,AvLock.txt,\Windows\Temp\_avast_\unp_low\AvLock.txt,12/26/23 0:03:47,12/26/23 0:03:47,12/26/23 0:03:47,12/26/23 0:03:47,Initialize File Record Segment,0x43D,6,0
10049732140,12/26/23 0:03:50,File Creation,WRITABLE.TST,\Windows\System32\wbem\Repository\WRITABLE.TST,12/26/23 0:03:50,12/26/23 0:03:50,12/26/23 0:03:50,12/26/23 0:03:50,Initialize File Record Segment,0x6BF,0,0
